STRUCTURE,STRUCTURE_ID,ACTION,LEI,LEGAL_NAME,COUNTRY_INCORPORATION,COUNTRY_HEADQUARTERS,CATEGORY,SUBCATEGORY,LEGAL_FORM,POSTAL_CODE
datastructure,MD:LEI_DATA(1.0),I,01370W6ZIY66KQ4J3570,GOLD COAST CAPITAL SUBSIDIARY I LIMITED,KY,US,FUND,,OSBR,KY1-1104
datastructure,MD:LEI_DATA(1.0),I,014W5MNVD8KOIPLIND87,III Select Credit Hub Fund Ltd.,KY,US,FUND,,8888,KY1-1108
datastructure,MD:LEI_DATA(1.0),I,016DGCW2COM8YUBURB67,"MEDI-PHYSICS, INC.",US,US,GENERAL,,XTIQ,19801
datastructure,MD:LEI_DATA(1.0),I,01E7JU5W846RIZXBMX63,LAZARD FRERES & CO QUANTITATIVE EQUITY FUND,US,US,FUND,,8888,10112
datastructure,MD:LEI_DATA(1.0),I,01ERPZV3DOLNXY2MLB90,"Libertyville Bank & Trust Company, National Association",US,US,GENERAL,,62VJ,60048
datastructure,MD:LEI_DATA(1.0),I,01J4SO3XTWZF4PP38209,Trustmark National Bank,US,US,GENERAL,,62VJ,39201
datastructure,MD:LEI_DATA(1.0),I,01KWVG908KE7RKPTNP46,HomeStreet Bank,US,US,GENERAL,,8888,98101
datastructure,MD:LEI_DATA(1.0),I,01PZ5A1XH5933KUUB187,TIFF Multi-Asset Fund,US,US,FUND,,8888,19801
datastructure,MD:LEI_DATA(1.0),I,01TRDHWDCL69YP41S025,RGA INTERNATIONAL REINSURANCE COMPANY DESIGNATED ACTIVITY COMPANY,IE,IE,GENERAL,,LGWG,D18 X5T1
datastructure,MD:LEI_DATA(1.0),I,01TTJC0QULHOS23G7C64,"AG Net Lease Realty Fund, L.P.",US,US,GENERAL,,T91T,19904
datastructure,MD:LEI_DATA(1.0),I,01YA4M3ZQ45K0V190G80,NATIXIS FUNDS TRUST I,US,US,FUND,,Z73Z,02199-8197
datastructure,MD:LEI_DATA(1.0),I,01ZT0X0MQPY4FB7X6597,"Stirling Bossier, L.L.C.",US,US,GENERAL,,CD9O,70433
datastructure,MD:LEI_DATA(1.0),I,020BQJXAXCZNLKIN7326,IAG NEW ZEALAND LIMITED,NZ,NZ,GENERAL,,P2R9,1010
datastructure,MD:LEI_DATA(1.0),I,02125PFFNNDK2YW74M07,iShares Global Healthcare Index ETF (CAD-Hedged),CA,CA,FUND,,8888,M5J 2S1
datastructure,MD:LEI_DATA(1.0),I,023VXBUMLOGQRCOPJY30,ProFunds UltraSector Bear,US,US,FUND,,8888,19801
datastructure,MD:LEI_DATA(1.0),I,023Z0O828G80MF0V6P05,MERCED PARTNERS LIMITED PARTNERSHIP,US,US,GENERAL,,T91T,19801
datastructure,MD:LEI_DATA(1.0),I,024DELVYES1ONBTJWD69,Putnam Focused Equity Fund,US,US,FUND,,8888,02109
datastructure,MD:LEI_DATA(1.0),I,029200013A5N6ZD0F605,AFRINVEST SECURITIES LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,029200028G3L5BI6D581,DIAMOND SECURITIES LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,029200038B4L4ZI1E579,CAPITAL BANCORP PLC,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,029200048F0K9UI5A508,CAPITAL EXPRESS SECURITIES LTD,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,029200050A6L6XA0G556,COWRY SECURITIES LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,029200067A7K6CH0H586,CENTRAL SECURITIES CLEARING SYSTEM PLC,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,029200073F9T3DD5J993,ECL ASSET MANAGEMENT LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,029200086F9P0XG5J787,EUROCOMM SECURITIES LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001007F9R1YAH504,FORTRESS CAPITAL LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001018B2N4DBI146,SIGNET INVESTMENTS AND SECURITIES LTD,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292001026A4KCG0E581,ICON STOCKBROKERS LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001036C4S8DDG272,MUTUAL ALLIANCE AND INVESTMENTS LIMITED,NG,NG,GENERAL,,9999,101232
datastructure,MD:LEI_DATA(1.0),I,0292001043F9K1CED562,CITI INVESTMENT CAPITAL LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001058D6S6ZFI330,EDC SECURITIES LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001068F8M9VGI544,ZENITH SECURITIES LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001076F9L1DHG532,ARTHUR STEVEN ASSET MANAGEMENT LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,029200107H2M7CH7C666,FSDH SECURITIES LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001083B7P3ZID187,ASSOCIATED ASSET MANAGERS LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001093C9N2UJD238,EDGEFIELD CAPITAL MANAGEMENT LIMITED,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292001103H8P5XAD727,IMPERIAL ASSET MANAGERS LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001113A2K4VBD053,APEL ASSET LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001130A2Q5CDA023,GTI SECURITIES LIMTED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001147J8R3BEH946,ATLANTIC SHRIMPERS LIMITED,NG,NG,GENERAL,,9999,101010
datastructure,MD:LEI_DATA(1.0),I,0292001156F2T0UFG565,SPRING TRUST AND SECURITIES LTD,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001167H3Q0GH7D41,CSL STOCKBROKERS LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001178F3RHI5D836,NEIMETH INTERNATIONAL PHARMACEUTICALS PLC,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,029200117F9M1UH5J696,INDEPENDENT SECURITIES LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001186C6Q9DIG214,CASHVILLE INVESTMENTS AND SECURITIES LTD,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001197B7R2AJH175,PARTNERSHIP SECURITIES LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001203H4S4WAD755,PHRONESIS SECURITIES LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001216G8N0CBG639,INVESTMENT CENTRE LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001228G1S0WCI668,GLOBAL ASSET MANAGEMENT NIG LTD,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,029200122C3N8YC2D645,INVESTMENT ONE STOCKBROKERS INTL LTD,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001236A9P9DG0J48,CENTREPOINT INVESTMENTS LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001245E9N6UEF412,CROWN CAPITAL LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001257H8N2UFH736,MBL FINANCIAL SERVICES LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001263B6R0XGD136,HEDGE SECURITIES AND INVESTMENTS COMPANY LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001272D9O1HC3J91,LIGHTHOUSE ASSET MANAGEMENT LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001288A8N0WII032,KUNDILA FINANCE SERVICES LTD,NG,NG,GENERAL,,9999,700233
datastructure,MD:LEI_DATA(1.0),I,0292001297D5OJH3F781,NIGERIAN STOCKBROKERS LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001307C4L7DAH237,DYNAMIC PORTFOLIO LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001310F6S6BA5G23,TRW STOCKBROKERS LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001323F1Q3ACD554,KOFANA SECURITIES AND INVESTMENT LTD,NG,NG,GENERAL,,9999,520001
datastructure,MD:LEI_DATA(1.0),I,0292001337J5P1VDH982,MAYFIELD INVESTMENT LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001348H8N0ZEI754,CASHCRAFT SECURITIES LTD,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001358E9S7UFI494,RESORT SECURITIES AND TRUST LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001360E9S6ZGA402,NETWORK CAPITAL LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001376D5S9VHG314,FIRST INTEGRATED CAPITAL MANAGEMENT LIMITED,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292001376F6T9DHG583,SPRINGBSPRINGBOARD TRUST AND INVESTMENT LTD,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,029200137F2K8AH5C573,CAPITAL ASSETS LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001381F1R1IB5B85,STANBIC IBTC STOCKBROKERS LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001387C8O6VIH250,MAXIFUND INVESTMENTS AND SECURITIES PLC,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001396D5R9CJG339,ROYAL GUARANTY AND TRUST LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001398F7K0YJI588,TRADELINK SECURITIES LTD,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001403A8O1VAD085,CORDROS CAPITAL LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001407F6K0YAH588,RAINBOW SECURITIES AND INVESTMENT CO LTD,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,029200140H7L9YA7H589,MARINA SECURITIES STOCKBROKING SERVICES LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001416A2Q7DBG007,MORGAN CAPITAL SECURITIES LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001418H7S9VBI781,TRADERS TRUST AND INVESTMENT CO LTD,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001427F6K7ACH512,CAMRY SECURITIES LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001427H0P4XCH734,PINEFIELDS INVESTMENT SERVICES LIMITED,NG,NG,GENERAL,,9999,440001
datastructure,MD:LEI_DATA(1.0),I,0292001447G0O6UEH654,MBC SECURITIES LTD,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001458B2O3XFI179,LEAD SECURITIES AND INVESTMENT LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001468G1O5XGI613,NEW PRUDENTIAL MORTGAGE BANK LTD,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001488E5K9VII448,ZION STOCKBROKERS AND SECURITIES LTD,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001497F9R2ZJH523,FBC TRUST AND SECURITIES LTD,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001503F2S3CAD579,CHARTWELL SECURITIES LIMITED,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292001518G9K5YBI667,FBN SECURITIES LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001528C0T2VCI235,TRUSTHOUSE INVESTMENTS LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001537D8P1DDH371,UNEX CAPITAL LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001543G4S7CED690,GREENWICH SECURITIES LTD,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001558H4R9DFI732,ICMG SECURITIES LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001568C3M3WGI292,ARM SECURITIES LTD,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,029200156B8S2G1I9C02,NIGERIAN INTERNATIONAL SECURITIES LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001577B5L4VHH124,ANCHORAGE SECURITIES AND FINANCE LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001587J4M0YIH925,TOMIL TRUST LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001593F7O1BJD562,INVESTMENT SHARK AND ASSET MANAGEMENT LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001608H4N1VAI748,ENTERPRISE STOCKBROKERS PLC,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001615F0O0WF5A05,PYRAMID SECURITIES LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001629A3Q7XJ0D19,SFC SECURITIES LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,029200162D5Q8ZC3F843,SKYVIEW CAPITAL LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001648C8T6BI2I15,TRANSWORLD INVESTMENT AND SECURITIES LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001658A8K6DI0I96,FIDELITY FINANCE COMPANY LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001668E6S7ZI4G80,PIVOT CAPITAL LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001678F2M2YI5C67,ROYAL TRUST SECURITIES LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001684F9TE5J9472,CAPITAL TRUST BROKERS LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001697C5S3YH2F51,RENCAP SECURITIES NIGERIA LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001707J6S5UH9G04,EXPRESS PORTFOLIO SERVICES LIMITED,NG,NG,GENERAL,,9999,800211
datastructure,MD:LEI_DATA(1.0),I,0292001715H8L9YF7I57,PILOT SECURITIES LIMITED,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292001724A0L2AE0A68,TOWER ASSETS MANAGEMENT LIMITED,NG,NG,GENERAL,,9999,900001
datastructure,MD:LEI_DATA(1.0),I,0292001728J8L8WI9I19,PROMINENT SECURITIES LIMITED,NG,NG,GENERAL,,9999,101283
datastructure,MD:LEI_DATA(1.0),I,0292001733F9T2DD5J88,EQUITY CAPITAL SOLUTIONS LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001746H8S8UG7I22,UNION CAPITAL MARKETS LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,029200175G8T2BF6I936,SMADAC SECURITIES LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001765F4T9VF5E37,GRUENE CAPITAL LIMITED,NG,NG,GENERAL,,9999,101212
datastructure,MD:LEI_DATA(1.0),I,0292001776A2Q6BG0C89,CORE TRUST AND INVESTMENT LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001788C3N5UI2D42,DOMINION TRUST LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001790F2R1VA5C32,PLANET CAPITAL LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001807C9M7ZH2J15,LONGTERM GLOBAL CAPITAL LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001813C5N4CD2F81,EXPRESS DISCOUNT ASSET MANAGEMENT LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001827F0O9UH5A25,DE-LORDS SECURITIES LIMITED,NG,NG,GENERAL,,9999,106103
datastructure,MD:LEI_DATA(1.0),I,0292001838G8M7YI6I18,ROYAL CREST FINANCE LIMITED,NG,NG,GENERAL,,9999,100263
datastructure,MD:LEI_DATA(1.0),I,0292001841J8K4CB9I82,AFRICAN ALLIANCE STOCKBORKERS LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001858D6P0XI3G45,GIDAUNIYA INVESTMENT AND SECURITIES LIMITED,NG,NG,GENERAL,,9999,700233
datastructure,MD:LEI_DATA(1.0),I,0292001868F6N5VI5G15,GUARANTY TRUST BANK PLC,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001874A0N3YE0A92,LAMBETH TRUST AND INVESTMENT COMPANY LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,029200187H5Q8XH7F882,SOLID-ROCK SECURITIES AND INVESTMENT PLC,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001886C8T5XG2I69,GLOBALVIEW CAPITAL LIMITED,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292001892G7M4VC6H63,KEDARI CAPITAL LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001905D1O6DF3B24,SECURITIES AFRICA FINANCIAL LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001912A4R7C0E894,HARMONY SECURITIES LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001926H0K6VG7A05,HERITAGE CAPITAL MARKETS LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292001938G1M0YI6B07,STACO INSURANCE PLC,NG,NG,GENERAL,,9999,101212
datastructure,MD:LEI_DATA(1.0),I,029200193E9L4YD4J522,UBA SECURITIES LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001948F8SI5I9871,GUINEA INSURANCE PLC,NG,NG,GENERAL,,9999,100252
datastructure,MD:LEI_DATA(1.0),I,0292001957C2T2DH2C82,INFINITY TRUST MORTGAGE BANK PLC,NG,NG,GENERAL,,9999,900001
datastructure,MD:LEI_DATA(1.0),I,0292001968C0R2Y6I295,EL-ELYON ALLIANCE AND SECURITIES LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001972C8T4ZC2I30,TYNDALE SECURITIES LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292001987H9L5UH7J52,HEARTBEAT INVESTMENT LIMITED,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292001997C8L2YH2I58,READINGS INVESTMENTS LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292002018G5L0UI6F40,CORNERSTONE INSURANCE PLC,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292002026C7P9WG2H69,UACN PROPERTY DEVELOPMENT COMPANY PLC,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292002038A3S2DI0D77,FINMAL FINANCE SERVICES LIMITED,NG,NG,GENERAL,,9999,900001
datastructure,MD:LEI_DATA(1.0),I,0292002048G2Q3XI6C20,NOVA FINANCE AND SECURITIES LIMITED,NG,NG,GENERAL,,9999,101231
datastructure,MD:LEI_DATA(1.0),I,0292002058F3N8DI5D68,INTEGRATED TRUST AND INVESTMENT LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292002067E3RH4D8768,UNITED BANK FOR AFRICA PLC,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292002076G9S2G6J956,CAPITAL HOTELS PLC,NG,NG,GENERAL,,9999,900001
datastructure,MD:LEI_DATA(1.0),I,0292002087D4NH3E6743,FLOUR MILLS OF NIGERIA PLC,NG,NG,GENERAL,,9999,101010
datastructure,MD:LEI_DATA(1.0),I,029200208G8P7WI6I763,WSTC FINANCIAL SERVICES LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292002098B6I1G8B633,Securities Africa Limited,BM,BM,GENERAL,,7AS7,FL 04
datastructure,MD:LEI_DATA(1.0),I,0292002102E1R1UC4B30,AB MICROFINANCE BANK NIGERIA LIMITED,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292002116J2L2G9C548,NETWORTH SECURITIES AND FINANCE LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292002125E9P7ZF4J46,PAC SECURITIES LIMITED,NG,NG,GENERAL,,9999,101241
datastructure,MD:LEI_DATA(1.0),I,0292002138H8MI7I6835,ARBICO PLC,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292002158E0MI4A6894,R T BRISCOE NIGERIA PLC,NG,NG,GENERAL,,9999,100253
datastructure,MD:LEI_DATA(1.0),I,0292002168G0R1WI6A59,CONSOLIDATED HALLMARK INSURANCE PLC,NG,NG,GENERAL,,9999,101232
datastructure,MD:LEI_DATA(1.0),I,0292002173F4KD5E5347,NESTLE NIGERIA PLC,NG,NG,GENERAL,,9999,100252
datastructure,MD:LEI_DATA(1.0),I,0292002188G7K0UI6H93,C I LEASING PLC,NG,NG,GENERAL,,9999,106103
datastructure,MD:LEI_DATA(1.0),I,029200218B6P4D8I1G47,MERISTEM STOCKBROKERS LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292002192H7C7H2H732,GUINNESS NIGERIA PLC,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292002207B1QH1B8722,AFRICAN ALLIANCE INSURANCE PLC,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,0292002213B5D1F3B525,NIGERIAN BREWERIES PLC,NG,NG,GENERAL,,9999,102231
datastructure,MD:LEI_DATA(1.0),I,0292002223E9K7BD4J19,AFRICA PRUDENTIAL PLC,NG,NG,GENERAL,,9999,104101
datastructure,MD:LEI_DATA(1.0),I,029200222D9S2BC3J917,CARDINALSTONE SECURITIES LIMITED,NG,NG,GENERAL,,9999,101233
datastructure,MD:LEI_DATA(1.0),I,0292002246D7PG3H7691,LIVESTOCK FEEDS PLC,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292002255H8L2CF7I74,DUNN LOREN MERRIFIELD SECURITIES LIMITED,NG,NG,GENERAL,,9999,122001
datastructure,MD:LEI_DATA(1.0),I,0292002268F4K6ZI5E69,AGRO TRADERS LIMITED,NG,NG,GENERAL,,9999,340241
datastructure,MD:LEI_DATA(1.0),I,0292002270F2T5DA5C33,PLANTATION INDUSTRIES LIMITED,NG,NG,GENERAL,,9999,340241
datastructure,MD:LEI_DATA(1.0),I,0292002282G8R2C6I885,PORTLAND PAINTS AND PRODUCTS NIGERIA PLC,NG,NG,GENERAL,,9999,100271
datastructure,MD:LEI_DATA(1.0),I,0292002296E7G4H6E736,UAC OF NIGERIA PLC,NG,NG,GENERAL,,9999,100221
datastructure,MD:LEI_DATA(1.0),I,029200230F6K6Z1F5G39,LEADWAY CAPITAL AND TRUSTS LIMITED/SIM CAPITAL ALLIANCE VALUE FUND,NG,NG,GENERAL,,9999,101241
